idJugador,nombre,cantidadPartidas,rating
legacyofbob,chess960,11,2337
legacyofbob,kingOfTheHill,15,2408
legacyofbob,threeCheck,1,1741
legacyofbob,atomic,10,1705
legacyofbob,crazyhouse,43,2159
legacyofbob,puzzle,15,2198
iamstraw,ultraBullet,12684,2458
iamstraw,bullet,8742,3167
iamstraw,blitz,1413,2672
iamstraw,rapid,15,2338
iamstraw,classical,29,2141
iamstraw,correspondence,0,1500
iamstraw,chess960,60,2435
iamstraw,kingOfTheHill,75,2235
iamstraw,threeCheck,33,2074
iamstraw,antichess,101,1933
iamstraw,atomic,4,2261
iamstraw,horde,783,2402
iamstraw,racingKings,97,2152
iamstraw,crazyhouse,1,1477
iamstraw,puzzle,2,1803
sindarovgm,ultraBullet,262,2236
sindarovgm,bullet,3924,3165
sindarovgm,blitz,3309,2794
sindarovgm,rapid,65,2204
sindarovgm,classical,0,1500
sindarovgm,correspondence,1,1741
sindarovgm,chess960,142,2496
sindarovgm,threeCheck,3,2231
sindarovgm,horde,1,1832
sindarovgm,puzzle,1702,2765
cutemouse83,bullet,2,1756
cutemouse83,blitz,8555,3027
cutemouse83,rapid,0,1500
cutemouse83,classical,0,1500
cutemouse83,correspondence,1,1258
cutemouse83,puzzle,41,2300
athena-pallada,bullet,1476,3080
athena-pallada,blitz,9242,2982
athena-pallada,rapid,242,2837
athena-pallada,classical,66,2522
athena-pallada,correspondence,0,1500
athena-pallada,chess960,197,2461
athena-pallada,kingOfTheHill,127,2194
athena-pallada,antichess,91,1549
athena-pallada,atomic,80,1401
athena-pallada,horde,17,1890
athena-pallada,racingKings,213,1930
athena-pallada,crazyhouse,41,2090
athena-pallada,puzzle,11005,3005
lintchevski_daniil,bullet,2687,3102
lintchevski_daniil,blitz,1071,2955
lintchevski_daniil,rapid,0,1500
lintchevski_daniil,classical,0,1500
lintchevski_daniil,correspondence,0,1500
lintchevski_daniil,puzzle,238,2610
dr-cro,bullet,25000,2902
dr-cro,blitz,7373,2955
dr-cro,rapid,4,2146
dr-cro,classical,0,1500
dr-cro,correspondence,0,1500
dr-cro,chess960,2313,2462
dr-cro,threeCheck,2069,2263
dr-cro,puzzle,322,2936
temp006,ultraBullet,2558,2196
temp006,bullet,38139,2992
temp006,blitz,1452,2948
temp006,rapid,7,2365
temp006,classical,0,1500
temp006,correspondence,0,1500
temp006,kingOfTheHill,13,2117
temp006,threeCheck,7,2083
temp006,atomic,4,1588
temp006,racingKings,8,1458
temp006,puzzle,146,2808
super_fanzhendong,bullet,757,2925
super_fanzhendong,blitz,51,2935
super_fanzhendong,rapid,0,1500
super_fanzhendong,classical,0,1500
super_fanzhendong,correspondence,0,1500
super_fanzhendong,puzzle,39,2661
lucifermorning01,bullet,0,1500
lucifermorning01,blitz,591,2925
lucifermorning01,rapid,0,1500
lucifermorning01,classical,0,1500
lucifermorning01,correspondence,0,1500
evilgenius94,bullet,362,3058
evilgenius94,blitz,353,2922
evilgenius94,rapid,0,1500
evilgenius94,classical,0,1500
evilgenius94,correspondence,0,1500
evilgenius94,chess960,34,2259
evilgenius94,threeCheck,1,1662
evilgenius94,antichess,1,1662
evilgenius94,atomic,1,1432
evilgenius94,crazyhouse,2,1706
evilgenius94,puzzle,624,2911
silence404,bullet,0,1500
silence404,blitz,3712,2917
silence404,rapid,0,1500
silence404,classical,0,1500
silence404,correspondence,0,1500
silence404,puzzle,10,2347
drvitman,bullet,2040,2534
drvitman,blitz,644,2686
drvitman,rapid,491,2942
drvitman,classical,3,1880
drvitman,correspondence,0,1500
drvitman,chess960,14,2129
drvitman,horde,63,1944
drvitman,crazyhouse,18,1998
drvitman,puzzle,10571,1728
vvchessli,ultraBullet,1870,2050
vvchessli,bullet,11635,2917
vvchessli,blitz,8579,2699
vvchessli,rapid,1046,2824
vvchessli,classical,144,2458
vvchessli,correspondence,0,1500
vvchessli,chess960,19,2170
vvchessli,kingOfTheHill,44,1997
vvchessli,threeCheck,29,1871
vvchessli,antichess,62,1624
vvchessli,atomic,14,1253
vvchessli,horde,16,2068
vvchessli,racingKings,18,1891
vvchessli,crazyhouse,17,1885
vvchessli,puzzle,3442,2700
chesssknock,ultraBullet,357,1830
chesssknock,bullet,9072,2809
chesssknock,blitz,30695,2725
chesssknock,rapid,3633,2805
chesssknock,classical,10,2354
chesssknock,correspondence,1,1500
chesssknock,chess960,874,2222
chesssknock,threeCheck,183,2022
chesssknock,antichess,22,1754
chesssknock,horde,89,2002
chesssknock,crazyhouse,204,2016
chesssknock,puzzle,3110,2641
mrkooshaj,ultraBullet,3261,2183
mrkooshaj,bullet,21543,2902
mrkooshaj,blitz,6043,2657
mrkooshaj,rapid,501,2793
mrkooshaj,classical,42,2400
